account_id,entity_id,account_type,created_date
ACC0001,ENT001,Business Account,2025-07-28
ACC0002,ENT001,Business Account,2024-10-02
ACC0003,ENT002,Bank Account,2024-12-18
ACC0004,ENT002,Business Account,2025-07-10
ACC0005,ENT002,Wallet,2026-04-04
ACC0006,ENT003,Bank Account,2025-09-10
ACC0007,ENT004,Wallet,2025-04-20
ACC0008,ENT005,Wallet,2024-11-07
ACC0009,ENT005,Bank Account,2026-05-18
ACC0010,ENT006,Business Account,2025-07-19
ACC0011,ENT007,Wallet,2026-01-03
ACC0012,ENT007,Bank Account,2025-12-14
ACC0013,ENT007,Business Account,2025-11-13
ACC0014,ENT008,Wallet,2024-10-30
ACC0015,ENT008,Business Account,2025-12-01
ACC0016,ENT009,Bank Account,2025-01-24
ACC0017,ENT009,Wallet,2025-04-01
ACC0018,ENT010,Bank Account,2025-10-30
ACC0019,ENT011,Business Account,2025-10-13
ACC0020,ENT011,Business Account,2025-03-13
ACC0021,ENT011,Wallet,2025-05-02
ACC0022,ENT012,Business Account,2026-04-25
ACC0023,ENT012,Wallet,2025-07-03
ACC0024,ENT012,Business Account,2025-05-12
ACC0025,ENT013,Wallet,2024-08-28
ACC0026,ENT013,Bank Account,2024-12-05
ACC0027,ENT014,Business Account,2024-11-17
ACC0028,ENT015,Bank Account,2024-07-15
ACC0029,ENT015,Bank Account,2025-02-13
ACC0030,ENT016,Bank Account,2024-06-12
ACC0031,ENT017,Bank Account,2025-08-26
ACC0032,ENT017,Business Account,2025-07-31
ACC0033,ENT017,Wallet,2024-11-21
ACC0034,ENT018,Bank Account,2025-08-27
ACC0035,ENT018,Wallet,2024-11-14
ACC0036,ENT018,Wallet,2024-06-01
ACC0037,ENT019,Wallet,2024-07-21
ACC0038,ENT019,Business Account,2025-11-27
ACC0039,ENT019,Wallet,2025-09-29
ACC0040,ENT020,Bank Account,2024-07-11
ACC0041,ENT020,Business Account,2024-11-20
ACC0042,ENT020,Business Account,2024-07-18
ACC0043,ENT021,Business Account,2026-04-30
ACC0044,ENT022,Wallet,2024-06-20
ACC0045,ENT022,Business Account,2026-03-25
ACC0046,ENT022,Wallet,2025-02-07
ACC0047,ENT023,Wallet,2024-07-21
ACC0048,ENT024,Bank Account,2025-06-30
ACC0049,ENT024,Wallet,2024-11-27
ACC0050,ENT025,Business Account,2024-12-29
ACC0051,ENT026,Wallet,2025-10-28
ACC0052,ENT026,Business Account,2025-06-08
ACC0053,ENT026,Bank Account,2024-11-09
ACC0054,ENT027,Bank Account,2025-07-19
ACC0055,ENT027,Business Account,2024-09-06
ACC0056,ENT027,Wallet,2025-12-09
ACC0057,ENT028,Business Account,2026-05-23
ACC0058,ENT028,Business Account,2026-04-12
ACC0059,ENT028,Bank Account,2025-08-13
ACC0060,ENT029,Wallet,2025-08-17
ACC0061,ENT030,Business Account,2025-05-29
ACC0062,ENT031,Bank Account,2024-12-01
ACC0063,ENT031,Business Account,2026-01-26
ACC0064,ENT031,Wallet,2025-05-29
ACC0065,ENT032,Bank Account,2026-02-13
ACC0066,ENT032,Bank Account,2025-04-08
ACC0067,ENT033,Wallet,2024-10-21
ACC0068,ENT033,Bank Account,2024-08-08
ACC0069,ENT034,Bank Account,2024-08-10
ACC0070,ENT035,Bank Account,2025-10-20
ACC0071,ENT035,Bank Account,2025-04-26
ACC0072,ENT035,Business Account,2025-02-26
ACC0073,ENT036,Bank Account,2025-04-21
ACC0074,ENT036,Business Account,2025-04-11
ACC0075,ENT037,Bank Account,2025-05-24
ACC0076,ENT038,Wallet,2026-03-28
ACC0077,ENT038,Business Account,2025-12-14
ACC0078,ENT038,Bank Account,2024-07-08
ACC0079,ENT039,Business Account,2025-11-01
ACC0080,ENT039,Business Account,2025-10-16
ACC0081,ENT040,Bank Account,2025-10-10
ACC0082,ENT040,Business Account,2024-08-11
