transaction_id,sender_account_id,receiver_account_id,amount_usd,transaction_type,transaction_date,status,source_system
TX00001,ACC0026,ACC0040,6562,Refund,2025-06-21 05:27:48,Pending,Manual Report
TX00002,ACC0016,ACC0032,3706,Transfer,2025-11-01 01:12:53,Completed,Bank Export
TX00003,ACC0076,ACC0071,3795,Deposit,2026-03-07 11:57:18,Completed,Bank Export
TX00004,ACC0010,ACC0081,989,Payment,2025-10-07 11:02:31,Completed,Bank Export
TX00005,ACC0043,ACC0010,8448,Payment,2026-04-04 14:34:31,Completed,Manual Report
TX00006,ACC0028,ACC0070,2192,Deposit,2026-04-28 07:52:57,Flagged,Manual Report
TX00007,ACC0032,ACC0061,13255,Withdrawal,2025-07-10 02:58:25,Completed,Bank Export
TX00008,ACC0013,ACC0056,5829,Withdrawal,2025-09-02 06:09:27,Pending,Manual Report
TX00009,ACC0007,ACC0013,1018,Withdrawal,2025-08-11 02:15:41,Completed,Bank Export
TX00010,ACC0032,ACC0025,3141,Deposit,2025-08-10 13:23:16,Pending,Wallet Export
TX00011,ACC0055,ACC0024,4588,Withdrawal,2025-12-22 23:03:28,Completed,Bank Export
TX00012,ACC0057,ACC0071,1629,Transfer,2025-11-18 21:53:37,Flagged,Bank Export
TX00013,ACC0012,ACC0031,2749,Withdrawal,2025-07-22 03:06:22,Pending,Manual Report
TX00014,ACC0028,ACC0052,14810,Transfer,2025-11-08 12:44:03,Completed,Manual Report
TX00015,ACC0001,ACC0050,4370,Withdrawal,2025-08-07 22:44:41,Completed,Manual Report
TX00016,ACC0072,ACC0063,2561,Payment,2025-09-13 20:44:29,Completed,Wallet Export
TX00017,ACC0008,ACC0075,12079,Deposit,2025-11-24 08:31:07,Completed,ERP
TX00018,ACC0008,ACC0007,9596,Withdrawal,2025-09-02 16:52:38,Flagged,Wallet Export
TX00019,ACC0008,ACC0066,1337,Payment,2026-05-03 07:18:44,Completed,Bank Export
TX00020,ACC0031,ACC0052,1989,Deposit,2026-05-22 05:58:17,Completed,Bank Export
TX00021,ACC0080,ACC0011,6893,Deposit,2025-06-26 23:09:02,Flagged,ERP
TX00022,ACC0034,ACC0027,10997,Refund,2025-11-16 18:47:25,Completed,ERP
TX00023,ACC0051,ACC0017,11029,Refund,2026-04-07 11:49:32,Pending,ERP
TX00024,ACC0010,ACC0002,7533,Deposit,2026-04-28 04:52:04,Flagged,Bank Export
TX00025,ACC0010,ACC0069,3517,Deposit,2026-04-26 02:42:07,Completed,Wallet Export
TX00026,ACC0045,ACC0009,14430,Payment,2025-12-28 09:54:58,Completed,ERP
TX00027,ACC0021,ACC0057,13685,Deposit,2025-07-05 17:05:16,Completed,Bank Export
TX00028,ACC0071,ACC0039,10893,Transfer,2025-06-17 08:01:47,Completed,ERP
TX00029,ACC0015,ACC0014,12188,Deposit,2026-02-05 22:56:36,Completed,ERP
TX00030,ACC0037,ACC0078,3475,Refund,2025-12-24 15:09:26,Completed,ERP
TX00031,ACC0065,ACC0063,4139,Transfer,2026-04-18 08:51:15,Completed,Manual Report
TX00032,ACC0036,ACC0006,83,Refund,2025-06-03 10:03:56,Completed,ERP
TX00033,ACC0021,ACC0057,9063,Withdrawal,2025-07-03 21:47:04,Flagged,Bank Export
TX00034,ACC0015,ACC0010,14493,Payment,2026-05-23 10:52:42,Flagged,Bank Export
TX00035,ACC0048,ACC0075,9077,Payment,2026-03-17 08:15:07,Pending,Wallet Export
TX00036,ACC0006,ACC0040,5999,Transfer,2026-04-23 06:55:48,Completed,Wallet Export
TX00037,ACC0032,ACC0014,5819,Deposit,2025-08-28 11:43:44,Pending,Wallet Export
TX00038,ACC0031,ACC0021,13130,Payment,2025-08-01 06:38:39,Pending,Bank Export
TX00039,ACC0023,ACC0043,12843,Withdrawal,2025-11-02 12:33:57,Completed,ERP
